SEN No.,Batch id,Batch No,Class Commencement Date,Dec,Jan,Feb,March,April,May,June,July,Aug,Sept,Oct,Nov,Total hrs spent
NA,GL-B33,33,17/12/2022,25,25,27,30,17,24,19,23,29,13,26,34,292
GL052022607,GL-B33,33,17/12/2022,24,38,20,19,26,22,36,27,31,19,16,28,306
GL052022610,GL-B33,33,17/12/2022,31,17,13,12,15,10,31,14,39,38,34,17,271
GL052022614,GL-B33,33,17/12/2022,13,40,36,28,24,25,10,33,17,33,21,15,295
GL052022617,GL-B33,33,17/12/2022,23,40,21,14,12,28,33,14,10,20,16,28,259
GL052022619,GL-B33,33,17/12/2022,38,35,14,20,18,22,39,11,11,26,20,34,288
GL052022621,GL-B33,33,17/12/2022,18,33,24,28,20,31,15,14,34,16,28,17,278
GL052022630,GL-B33,33,17/12/2022,29,14,29,32,40,39,30,35,27,14,25,19,333
GL052022623,GL-B33,33,17/12/2022,17,18,13,14,21,13,10,11,30,40,25,30,242
GL052022634,GL-B33,33,17/12/2022,20,33,38,24,36,16,11,32,36,19,37,13,315
GL052022643,GL-B33,33,17/12/2022,39,39,21,38,26,37,26,22,21,10,21,37,337
GL052022648,GL-B33,33,17/12/2022,10,40,14,24,17,27,16,30,16,14,24,24,256
GL052022650,GL-B33,33,17/12/2022,37,19,16,14,12,19,31,10,12,14,29,20,233
GL052022653,GL-B33,33,17/12/2022,21,37,20,37,34,36,13,39,19,16,14,37,323
GL052022655,GL-B33,33,17/12/2022,27,12,37,30,20,34,38,29,34,40,19,23,343
GL052022636,GL-B33,33,17/12/2022,10,16,36,35,10,16,27,32,15,13,33,26,269
GL052022657,GL-B33,33,17/12/2022,22,12,21,25,25,28,37,22,11,28,31,17,279
GL052022658,GL-B33,33,17/12/2022,11,17,27,12,14,30,34,33,15,35,37,23,288
GL052022661,GL-B33,33,17/12/2022,28,15,19,31,17,28,33,24,14,22,26,33,290
GL042021036,GL-B33,33,17/12/2022,14,25,20,39,22,35,18,38,39,10,24,39,323
GL042022521,GL-B33,33,17/12/2022,15,32,23,19,23,31,13,21,17,10,31,18,253
GL042022470,GL-B33,33,17/12/2022,24,10,17,11,36,27,22,11,24,36,27,22,267
GL032022434,GL-B33,33,17/12/2022,10,35,12,39,16,28,40,20,36,35,36,32,339
GL042022517,GL-B33,33,17/12/2022,20,13,34,40,23,38,33,30,30,30,39,32,362
GL032022356,GL-B33,33,17/12/2022,30,12,12,39,31,37,13,21,21,29,26,18,289
GL042022516,GL-B33,33,17/12/2022,16,24,39,24,22,32,33,19,15,34,23,27,308
GL052022631,GL-B33,33,17/12/2022,31,28,36,23,39,24,33,10,15,33,27,35,334
GL062022725,GL-B34,34,26/07/2022,22,30,29,37,22,16,21,31,20,29,38,13,308
GL072022800,GL-B34,34,26/07/2022,34,13,11,30,23,22,24,32,20,17,39,34,299
GL052022571,GL-B34,34,26/07/2022,10,25,10,29,32,14,20,25,39,39,10,15,268
GL052022573,GL-B34,34,26/07/2022,25,33,34,12,20,13,39,18,34,18,15,36,297
NA,GL-B34,34,26/07/2022,37,33,10,28,24,28,17,35,21,31,31,20,315
GL042022532,GL-B34,34,26/07/2022,17,17,36,18,38,21,39,12,31,33,39,32,333
GL052022578,GL-B34,34,26/07/2022,38,28,17,25,40,11,30,23,16,27,39,17,311
GL052022579,GL-B34,34,26/07/2022,26,16,30,38,38,33,36,38,11,21,17,31,335
GL052022601,GL-B34,34,26/07/2022,14,10,26,30,40,32,10,25,39,17,37,17,297
GL052022588,GL-B34,34,26/07/2022,15,21,37,35,13,38,33,19,37,12,19,29,308
GL052022589,GL-B34,34,26/07/2022,34,27,22,29,16,36,27,13,17,28,28,20,297
GL122021225,GL-B34,34,26/07/2022,22,21,16,23,12,29,10,16,25,32,24,15,245
GL052022591,GL-B34,34,26/07/2022,11,37,23,27,21,16,35,12,26,33,39,40,320
GL052022595,GL-B34,34,26/07/2022,19,23,21,21,27,29,17,30,35,27,40,13,302
GL052022598,GL-B34,34,26/07/2022,13,18,10,16,29,26,27,31,25,18,14,25,252
GL052022599,GL-B34,34,26/07/2022,28,28,26,27,30,29,33,22,27,12,10,26,298
GL052022596,GL-B34,34,26/07/2022,22,15,39,33,32,32,40,11,24,29,24,38,339
GL052022603,GL-B34,34,26/07/2022,16,26,30,24,32,40,40,32,17,11,34,35,337
GL052022604,GL-B34,34,26/07/2022,12,32,30,26,31,32,13,28,35,38,23,32,332
GL052022609,GL-B34,34,26/07/2022,31,24,25,21,22,29,19,22,31,31,19,36,310
GL052022552,GL-B34,34,26/07/2022,34,15,18,18,25,16,22,11,15,17,19,38,248
GL052022611,GL-B34,34,26/07/2022,33,34,35,39,34,12,33,20,11,31,19,30,331
GL052022613,GL-B34,34,26/07/2022,30,10,32,15,26,10,32,25,29,27,25,36,297
GL052022615,GL-B34,34,26/07/2022,19,25,32,35,31,12,35,18,37,26,40,10,320
GL052022618,GL-B34,34,26/07/2022,25,36,21,11,18,18,38,12,31,29,11,34,284
GL052022593,GL-B34,34,26/07/2022,18,31,30,39,38,34,32,38,37,28,11,18,354
NA,GL-B34,34,26/07/2022,20,31,28,30,38,32,26,37,35,30,24,35,366
GL052022622,GL-B34,34,26/07/2022,18,12,23,35,17,14,10,31,25,27,23,22,257
GL052022624,GL-B34,34,26/07/2022,33,19,23,33,17,20,14,17,16,31,30,30,283
GL052022627,GL-B34,34,26/07/2022,21,14,31,14,26,13,30,28,38,35,17,10,277
GL052022626,GL-B34,34,26/07/2022,13,24,30,38,10,16,34,34,17,18,29,21,284
GL052022625,GL-B34,34,26/07/2022,12,30,32,22,28,36,35,28,37,23,12,14,309
GL052022628,GL-B34,34,26/07/2022,34,35,12,31,13,32,33,12,11,11,14,12,250
GL052022629,GL-B34,34,26/07/2022,22,25,26,36,16,39,15,34,22,32,21,36,324
GL052022632,GL-B34,34,26/07/2022,14,18,14,27,11,31,20,10,25,33,17,33,253
GL052022633,GL-B34,34,26/07/2022,23,28,12,23,14,32,19,26,28,12,18,11,246
GL052022638,GL-B34,34,26/07/2022,36,37,31,11,13,17,25,21,32,30,18,30,301
GL052022641,GL-B34,34,26/07/2022,21,11,18,18,15,24,19,14,33,35,21,17,246
GL052022642,GL-B34,34,26/07/2022,13,29,27,25,37,17,31,40,28,40,20,32,339
GL052022645,GL-B34,34,26/07/2022,11,38,34,20,40,10,10,18,40,18,23,29,291
GL052022647,GL-B34,34,26/07/2022,26,13,23,10,40,17,39,18,10,24,16,35,271
GL052022649,GL-B34,34,26/07/2022,25,20,23,20,25,37,12,35,20,20,13,11,261
GL052022646,GL-B34,34,26/07/2022,25,10,18,30,15,38,37,34,29,12,39,10,297
GL052022644,GL-B34,34,26/07/2022,37,13,32,16,29,23,35,39,23,34,40,21,342
GL052022651,GL-B34,34,26/07/2022,17,20,35,12,31,11,11,24,35,36,32,25,289
GL052022652,GL-B34,34,26/07/2022,26,31,29,25,13,21,31,40,27,23,34,36,336
GL052022656,GL-B34,34,26/07/2022,34,10,16,21,24,28,17,12,24,31,38,34,289
GL052022660,GL-B34,34,26/07/2022,35,30,32,22,15,27,33,15,22,10,27,17,285
GL052022594,GL-B34,34,26/07/2022,38,34,16,23,24,38,35,33,38,13,18,38,348
NA,GL-B34,34,26/07/2022,29,23,17,38,36,28,27,16,32,27,31,13,317
GL052022570,GL-B34,34,26/07/2022,19,15,38,10,14,34,29,25,32,28,22,20,286
GL032021021,GL-B34,34,26/07/2022,31,24,21,23,22,40,38,22,39,37,25,35,357
GL052022564,GL-B34,34,26/07/2022,24,33,10,19,12,12,39,13,19,15,35,20,251
GL122021241,GL-B35,35,03/08/2022,22,14,27,18,21,19,14,31,20,12,20,13,231
GL032022410,GL-B35,35,03/08/2022,29,35,40,37,18,10,13,20,36,12,20,37,307
GL052022662,GL-B35,35,03/08/2022,12,26,23,37,19,39,24,15,22,11,10,16,254
GL062022667,GL-B35,35,03/08/2022,29,13,30,19,24,16,14,26,19,19,35,31,275
GL062022670,GL-B35,35,03/08/2022,34,20,34,12,26,27,23,20,15,10,23,23,267
GL062022669,GL-B35,35,03/08/2022,24,39,32,17,14,29,22,18,35,10,25,22,287
GL062022675,GL-B35,35,03/08/2022,15,20,20,25,11,21,15,22,37,24,29,11,250
GL062022677,GL-B35,35,03/08/2022,15,31,31,30,36,27,14,16,22,24,36,13,295
GL062022678,GL-B35,35,03/08/2022,22,19,14,32,39,29,32,22,20,26,14,38,307
GL062022679,GL-B35,35,03/08/2022,33,34,38,13,30,11,29,25,36,24,31,19,323
GL062022683,GL-B35,35,03/08/2022,14,20,23,30,38,12,24,28,10,15,25,40,279
GL062022684,GL-B35,35,03/08/2022,29,31,29,23,36,35,31,30,13,20,35,15,327
GL062022688,GL-B35,35,03/08/2022,20,35,39,33,16,39,21,28,24,20,12,36,323
GL062022691,GL-B35,35,03/08/2022,27,10,38,26,15,17,16,17,14,24,11,11,226
GL062022692,GL-B35,35,03/08/2022,22,22,39,35,13,31,28,27,13,40,18,11,299
GL062022693,GL-B35,35,03/08/2022,19,13,39,33,30,33,20,34,18,28,37,13,317
GL062022697,GL-B35,35,03/08/2022,14,11,15,13,33,24,20,27,30,15,40,26,268
GL062022702,GL-B35,35,03/08/2022,30,21,23,18,26,25,36,24,40,13,37,25,318
GL062022703,GL-B35,35,03/08/2022,31,33,19,21,23,20,12,29,34,28,18,40,308
GL062022706,GL-B35,35,03/08/2022,31,34,27,19,10,17,26,10,34,32,10,20,270
GL062022707,GL-B35,35,03/08/2022,31,22,22,35,15,21,21,30,22,37,37,21,314
GL062022708,GL-B35,35,03/08/2022,25,25,32,37,29,40,28,21,31,29,18,14,329
GL062022714,GL-B35,35,03/08/2022,25,12,10,30,13,40,27,27,22,17,25,23,271
GL062022717,GL-B35,35,03/08/2022,37,11,16,38,26,23,15,32,21,11,33,22,285
GL062022721,GL-B35,35,03/08/2022,30,27,40,39,31,12,13,29,33,39,29,14,336
GL062022723,GL-B35,35,03/08/2022,40,39,27,18,15,20,13,13,17,19,33,26,280
GL062022728,GL-B35,35,03/08/2022,18,20,15,11,12,11,32,28,21,27,18,23,236
GL062022729,GL-B35,35,03/08/2022,25,35,28,22,29,14,39,31,10,21,22,17,293
GL062022731,GL-B35,35,03/08/2022,10,25,19,18,38,22,28,13,31,36,29,18,287
GL062022733,GL-B35,35,03/08/2022,25,10,17,23,14,16,27,28,37,19,23,29,268
GL062022736,GL-B35,35,03/08/2022,40,26,10,32,34,34,38,25,38,16,13,35,341
GL062022738,GL-B35,35,03/08/2022,24,33,11,36,23,34,15,20,15,12,30,37,290
GL042022508,GL-B35,35,03/08/2022,40,16,10,36,11,34,16,33,35,24,39,40,334
GL062022744,GL-B35,35,03/08/2022,23,33,36,23,26,26,13,33,15,11,12,12,263
GL062022746,GL-B35,35,03/08/2022,21,12,26,12,25,26,28,30,24,29,10,10,253
GL062022747,GL-B35,35,03/08/2022,25,22,28,26,32,18,20,22,21,40,20,27,301
GL062022756,GL-B35,35,03/08/2022,24,37,22,14,28,11,21,20,24,36,36,29,302
GL062022768,GL-B35,35,03/08/2022,21,32,15,40,26,28,29,24,12,18,29,19,293
GL052022555,GL-B35,35,03/08/2022,23,27,24,20,39,28,32,11,30,32,35,35,336
GL062022745,GL-B36,36,28/02/2022,29,25,40,12,26,20,31,36,11,21,17,12,280
GL102021163,GL-B36,36,28/02/2022,24,27,12,15,13,13,20,28,12,37,13,34,248
GL062022665,GL-B36,36,28/02/2022,27,22,10,11,28,31,36,38,36,23,34,37,333
GL062022666,GL-B36,36,28/02/2022,34,33,10,31,38,20,31,27,19,17,37,39,336
GL062022676,GL-B36,36,28/02/2022,21,20,24,17,15,26,17,36,39,32,30,27,304
GL062022671,GL-B36,36,28/02/2022,24,38,11,23,17,14,22,33,22,35,29,20,288
GL062022672,GL-B36,36,28/02/2022,16,24,22,35,37,23,31,34,21,25,27,22,317
NA,GL-B36,36,28/02/2022,21,13,23,37,37,19,21,33,36,38,14,40,332
GL062022681,GL-B36,36,28/02/2022,11,29,15,28,35,37,10,36,30,39,32,31,333
NA,GL-B36,36,28/02/2022,29,27,28,15,33,27,40,16,12,29,15,16,287
GL062022685,GL-B36,36,28/02/2022,25,31,14,24,12,32,24,37,11,35,29,28,302
GL062022686,GL-B36,36,28/02/2022,14,25,36,13,10,36,10,20,26,38,28,33,289
GL062022689,GL-B36,36,28/02/2022,12,39,16,28,28,40,24,11,11,14,24,19,266
GL062022690,GL-B36,36,28/02/2022,32,38,31,36,11,23,11,12,15,34,26,12,281
GL062022694,GL-B36,36,28/02/2022,33,15,25,23,25,30,15,13,23,15,27,20,264
GL062022698,GL-B36,36,28/02/2022,31,10,15,20,35,10,11,30,13,15,22,39,251
GL062022701,GL-B36,36,28/02/2022,36,35,14,18,25,13,36,37,18,21,40,40,333
GL062022704,GL-B36,36,28/02/2022,11,14,22,21,18,19,10,34,29,11,28,33,250
GL062022715,GL-B36,36,28/02/2022,11,20,26,25,37,17,31,16,36,18,26,16,279
GL062022713,GL-B36,36,28/02/2022,25,25,30,21,23,36,35,32,38,32,19,13,329
GL062022716,GL-B36,36,28/02/2022,10,23,12,22,24,22,35,38,27,13,12,30,268
GL062022718,GL-B36,36,28/02/2022,35,27,24,30,38,19,23,19,28,24,33,23,323
GL062022719,GL-B36,36,28/02/2022,19,35,15,38,12,15,12,16,40,19,27,26,274
GL062022720,GL-B36,36,28/02/2022,28,35,15,17,26,39,37,27,23,38,11,39,335
GL062022722,GL-B36,36,28/02/2022,17,17,29,10,13,21,19,21,38,26,29,13,253
GL062022724,GL-B36,36,28/02/2022,32,35,29,14,18,19,27,17,23,35,23,19,291
GL062022726,GL-B36,36,28/02/2022,31,21,33,35,18,20,11,17,15,10,36,40,287
GL062022732,GL-B36,36,28/02/2022,40,10,17,29,19,37,19,20,32,11,34,18,286
GL062022735,GL-B36,36,28/02/2022,16,20,22,13,19,13,30,34,31,22,40,35,295
GL062022741,GL-B36,36,28/02/2022,11,18,17,32,36,26,20,34,20,35,13,31,293
GL062022742,GL-B36,36,28/02/2022,28,21,24,29,12,12,35,33,37,12,23,26,292
GL062022748,GL-B36,36,28/02/2022,39,36,32,32,23,36,14,36,25,34,33,12,352
GL052022640,GL-B36,36,28/02/2022,35,39,17,33,34,15,10,33,20,39,24,38,337
GL062022674,GL-B36,36,28/02/2022,17,30,25,23,20,27,29,33,15,26,21,29,295
GL062022739,GL-B36,36,28/02/2022,31,18,33,26,30,29,36,27,35,38,20,30,353
GL052022608,GL-B36,36,28/02/2022,27,10,36,17,14,29,19,27,28,25,36,29,297
GL052022600,GL-B37,37,05/04/2022,33,35,25,16,13,27,40,21,36,16,28,34,324
GL062022700,GL-B37,37,05/04/2022,26,28,39,23,39,38,13,14,38,10,40,21,329
GL062022727,GL-B37,37,05/04/2022,25,11,34,23,14,19,37,36,15,31,10,13,268
GL062022711,GL-B37,37,05/04/2022,33,28,22,39,35,22,31,15,34,18,23,36,336
GL122021239,GL-B37,37,05/04/2022,14,15,15,18,20,13,33,35,19,21,26,20,249
GL062022751,GL-B37,37,05/04/2022,16,27,22,21,27,30,34,19,14,39,33,19,301
GL062022752,GL-B37,37,05/04/2022,29,14,13,10,31,39,23,30,14,21,33,29,286
GL062022753,GL-B37,37,05/04/2022,26,31,36,15,21,15,30,35,10,34,35,14,302
GL062022757,GL-B37,37,05/04/2022,23,14,37,36,28,10,22,11,11,20,23,38,273
NA,GL-B37,37,05/04/2022,31,12,20,34,12,33,36,39,28,14,31,27,317
GL062022759,GL-B37,37,05/04/2022,25,18,38,39,30,16,29,13,35,39,21,37,340
GL062022763,GL-B37,37,05/04/2022,24,25,34,40,35,24,11,10,31,17,30,29,310
GL062022770,GL-B37,37,05/04/2022,11,18,13,15,15,24,32,21,36,27,30,12,254
GL062022772,GL-B37,37,05/04/2022,38,15,11,23,12,35,13,29,19,32,33,26,286
GL062022775,GL-B37,37,05/04/2022,12,19,19,29,16,34,10,35,19,15,19,19,246
GL062022782,GL-B37,37,05/04/2022,27,25,25,18,11,19,15,13,31,26,25,16,251
NA,GL-B37,37,05/04/2022,37,26,14,36,40,30,40,40,38,10,27,34,372
NA,GL-B37,37,05/04/2022,39,39,18,19,20,31,12,36,37,23,36,33,343
GL062022786,GL-B37,37,05/04/2022,26,24,38,18,40,31,37,36,36,34,15,39,374
GL062022789,GL-B37,37,05/04/2022,13,32,14,26,23,26,33,24,15,17,26,16,265
GL072022791,GL-B37,37,05/04/2022,30,26,39,39,25,26,35,38,16,23,35,28,360
GL072022794,GL-B37,37,05/04/2022,40,39,15,30,24,27,23,27,26,29,27,16,323
GL072022795,GL-B37,37,05/04/2022,33,33,33,35,18,34,30,33,26,31,10,31,347
GL062022705,GL-B37,37,05/04/2022,23,32,12,24,17,22,20,37,37,28,19,24,295
GL072022796,GL-B37,37,05/04/2022,31,38,39,28,11,24,35,12,37,31,19,26,331
GL072022798,GL-B37,37,05/04/2022,31,10,13,38,17,38,39,23,36,19,37,34,335
GL072022805,GL-B37,37,05/04/2022,16,34,10,25,17,19,29,21,31,14,40,12,268
GL072022806,GL-B37,37,05/04/2022,18,38,18,38,11,26,28,37,12,39,25,34,324
GL042022500,GL-B37,37,05/04/2022,35,33,28,34,15,35,15,33,13,27,16,35,319
GL062022699,GL-B37,37,05/04/2022,23,16,14,28,28,40,39,23,22,26,29,33,321
GL062022743,GL-B37,37,05/04/2022,10,37,28,32,33,28,39,35,18,21,35,25,341
GL052022639,GL-B37,37,05/04/2022,26,32,12,36,30,24,22,33,32,19,13,22,301
GL052022583,GL-B37,37,05/04/2022,39,25,35,33,18,33,11,22,24,35,18,34,327
GL052022612,GL-B37,37,05/04/2022,12,38,38,18,11,16,10,23,15,27,15,35,258
GL052022572,GL-B37,37,05/04/2022,14,38,40,19,15,11,19,32,19,23,38,36,304
GL062022765,GL-B37,37,05/04/2022,39,39,40,29,40,19,17,22,27,37,33,39,381
G122021218,GL-B37,37,05/04/2022,22,16,38,37,24,24,30,31,12,31,35,33,333
GL052022582,GL-B37,37,05/04/2022,19,28,28,30,26,27,15,30,27,38,23,39,330
GL042022515,GL-B37,37,05/04/2022,30,12,24,19,40,11,27,37,12,25,34,40,311
GL042022468,GL-B37,37,05/04/2022,19,31,28,24,24,34,27,37,37,37,30,17,345
GL042022451,GL-B37,37,05/04/2022,34,26,16,23,29,38,19,12,14,36,19,25,291
GL122021235,GL-B37,37,05/04/2022,16,29,28,33,35,25,18,30,34,22,29,20,319
GL042022516,GL-B38,38,05/03/2022,13,13,40,23,32,10,13,34,37,16,38,20,289
GL062022790,GL-B38,38,05/03/2022,24,11,10,11,23,39,11,38,19,12,22,29,249
GL072022801,GL-B38,38,05/03/2022,31,19,16,27,28,38,17,19,40,17,14,17,283
GL072022802,GL-B38,38,05/03/2022,25,15,24,34,12,14,34,39,22,24,26,20,289
GL072022797,GL-B38,38,05/03/2022,28,32,26,32,11,36,21,31,39,40,28,33,357
GL072022792,GL-B38,38,05/03/2022,17,35,38,30,31,32,23,38,11,13,32,35,335
GL062022781,GL-B38,38,05/03/2022,13,40,27,21,26,40,34,22,16,33,10,37,319
GL062022785,GL-B38,38,05/03/2022,32,28,31,20,40,15,35,39,37,15,37,31,360
GL072022793,GL-B38,38,05/03/2022,38,21,40,18,15,15,36,26,25,36,28,29,327
GL062022766,GL-B38,38,05/03/2022,29,11,37,10,27,24,25,33,14,35,20,23,288
GL062022767,GL-B38,38,05/03/2022,27,21,39,17,29,32,27,19,12,34,35,13,305
GL072022813,GL-B38,38,05/03/2022,28,39,23,40,36,16,34,13,30,14,39,31,343
GL072022802,GL-B38,38,05/03/2022,30,11,21,33,38,36,16,24,14,35,38,23,319
GL062022762,GL-B38,38,05/03/2022,29,23,23,15,22,17,23,28,37,36,38,11,302
GL062022779,GL-B38,38,05/03/2022,33,36,33,38,38,38,22,14,29,17,24,28,350
GL072022804,GL-B38,38,05/03/2022,31,19,32,31,21,16,40,21,39,10,34,15,309
GL072022836,GL-B38,38,05/03/2022,31,30,18,12,27,13,37,18,36,34,32,10,298
GL032022430,GL-B38,38,05/03/2022,15,36,24,15,29,13,27,23,38,27,30,34,311
GL062022771,GL-B38,38,05/03/2022,12,27,31,18,25,32,16,18,19,26,36,21,281
GL062022778,GL-B38,38,05/03/2022,10,18,36,39,11,16,33,16,14,21,26,11,251
GL072022827,GL-B38,38,05/03/2022,13,33,30,35,20,23,21,34,22,32,16,35,314
GL062022737,GL-B38,38,05/03/2022,26,27,16,30,26,22,10,23,35,28,22,38,303
GL062022784,GL-B38,38,05/03/2022,11,30,24,16,18,23,25,39,13,21,21,20,261
GL062022764,GL-B38,38,05/03/2022,10,25,20,23,10,24,25,33,20,27,15,34,266
GL072022815,GL-B38,38,05/03/2022,15,27,17,35,33,30,11,11,12,19,10,22,242
GL062022774,GL-B38,38,05/03/2022,25,30,31,36,25,38,39,27,17,24,11,31,334
GL072022809,GL-B38,38,05/03/2022,29,24,40,26,23,23,36,18,39,31,37,31,357
GL062022750,GL-B38,38,05/03/2022,29,10,30,10,37,37,26,38,30,38,16,40,341
GL062022754,GL-B38,38,05/03/2022,16,31,18,18,20,39,10,31,10,22,13,27,255
GL072022812,GL-B38,38,05/03/2022,39,28,24,10,17,34,33,22,38,34,24,36,339
GL062022788,GL-B38,38,05/03/2022,39,34,34,16,13,35,19,37,14,27,16,32,316
GL062022769,GL-B39,39,04/10/2022,24,31,28,18,26,29,35,21,24,33,19,11,299
GL072022808,GL-B39,39,04/10/2022,37,10,12,12,38,14,38,34,33,28,23,35,314
GL072022813,GL-B39,39,04/10/2022,27,32,36,17,14,31,24,11,12,39,28,23,294
GL072022816,GL-B39,39,04/10/2022,19,24,33,14,12,26,12,27,16,28,13,34,258
GL072022826,GL-B39,39,04/10/2022,15,25,35,28,24,31,11,31,18,15,30,16,279
GL072022831,GL-B39,39,04/10/2022,30,29,18,39,27,17,25,34,16,37,20,18,310
GL072022835,GL-B39,39,04/10/2022,26,36,36,38,15,17,38,33,25,21,29,17,331
GL072022838,GL-B39,39,04/10/2022,21,12,22,28,26,15,17,33,14,40,18,39,285
GL072022842,GL-B39,39,04/10/2022,35,11,11,36,29,13,39,26,18,24,15,39,296
GL072022851,GL-B39,39,04/10/2022,23,27,32,28,34,36,32,19,26,31,26,32,346
GL072022859,GL-B39,39,04/10/2022,21,39,32,30,17,13,37,24,14,12,18,17,274
GL072022862,GL-B39,39,04/10/2022,36,10,12,37,11,35,28,14,22,10,31,20,266
GL072022865,GL-B39,39,04/10/2022,37,16,33,40,11,40,12,27,29,19,21,38,323
GL072022883,GL-B39,39,04/10/2022,23,30,15,39,36,15,24,19,11,36,10,11,269
GL072022882,GL-B39,39,04/10/2022,11,31,21,31,23,11,20,34,17,29,17,36,281
NA,GL-B39,39,04/10/2022,32,40,35,38,22,20,18,14,27,35,13,27,321
GL072022921,GL-B39,39,04/10/2022,38,35,19,21,18,14,23,10,12,19,26,18,253
GL062022710,GL-B39,39,04/10/2022,10,24,31,35,40,35,37,34,24,29,19,23,341
NA,GL-B39,39,04/10/2022,21,30,26,25,23,36,20,25,11,13,35,32,297
GL072022872,GL-B39,39,04/10/2022,28,40,31,31,34,20,21,38,17,24,35,39,358
GL052022618,GL-B39,39,04/10/2022,12,23,14,40,21,14,10,38,38,21,17,19,267
GL052022595,GL-B39,39,04/10/2022,14,10,23,27,30,21,18,15,40,15,34,16,263
GL072022863,GL-B39,39,04/10/2022,17,21,37,15,14,36,31,19,37,20,28,16,291
GL052022558,GL-B40,40,17/03/2022,29,33,28,15,31,38,40,28,12,16,26,35,331
GL112021181,GL-B40,40,17/03/2022,13,26,15,33,23,37,27,22,18,22,12,21,269
GL072022811,GL-B40,40,17/03/2022,16,23,10,32,40,32,14,15,36,32,19,31,300
GL072022814,GL-B40,40,17/03/2022,35,25,36,37,27,34,29,17,26,20,27,28,341
GL072022820,GL-B40,40,17/03/2022,34,37,25,21,27,37,28,20,16,34,12,37,328
GL072022821,GL-B40,40,17/03/2022,14,14,22,32,40,40,12,29,21,32,17,24,297
GL072022822,GL-B40,40,17/03/2022,33,10,14,38,22,30,26,18,17,20,26,22,276
GL072022823,GL-B40,40,17/03/2022,22,34,26,40,37,23,30,34,24,19,27,26,342
GL072022830,GL-B40,40,17/03/2022,24,30,38,10,12,35,20,39,36,20,23,14,301
NA,GL-B40,40,17/03/2022,27,40,24,32,14,28,13,16,32,21,23,12,282
GL072022833,GL-B40,40,17/03/2022,32,27,33,31,36,14,35,26,29,11,15,39,328
GL072022841,GL-B40,40,17/03/2022,22,14,37,35,36,14,38,28,27,17,31,38,337
GL072022843,GL-B40,40,17/03/2022,16,10,21,37,34,21,20,20,33,17,30,25,284
GL072022845,GL-B40,40,17/03/2022,34,24,39,14,27,37,25,32,40,32,31,38,373
GL072022849,GL-B40,40,17/03/2022,40,19,29,21,32,27,34,29,33,11,37,35,347
GL072022839,GL-B40,40,17/03/2022,21,36,32,32,10,20,21,27,24,23,36,23,305
GL072022846,GL-B40,40,17/03/2022,22,37,15,28,25,31,32,24,36,14,19,21,304
GL072022853,GL-B40,40,17/03/2022,26,15,29,12,36,16,33,17,17,35,26,22,284
GL072022852,GL-B40,40,17/03/2022,27,37,20,22,24,22,27,15,40,30,20,38,322
GL072022856,GL-B40,40,17/03/2022,13,18,32,33,26,24,26,21,25,24,39,17,298
GL072022857,GL-B40,40,17/03/2022,19,25,40,17,13,23,20,15,34,22,39,30,297
GL072022860,GL-B40,40,17/03/2022,27,36,17,15,34,23,30,12,34,11,19,39,297
GL082022938,GL-B40,40,17/03/2022,38,13,22,27,27,21,24,28,37,12,34,40,323
GL032022397,GL-B40,40,17/03/2022,11,29,31,24,38,10,39,12,17,10,30,12,263
GL032022361,GL-B40,40,17/03/2022,35,13,38,13,22,40,18,25,16,17,30,14,281
GL062022749,GL-B40,40,17/03/2022,24,27,34,14,24,35,31,22,34,15,16,28,304
GL052022617,GL-B40,40,17/03/2022,11,37,32,17,36,33,18,14,36,33,16,30,313
GL072022803,GL-B40,40,17/03/2022,26,20,13,16,10,21,29,23,31,34,31,22,276
GL062022712,GL-B40,40,17/03/2022,39,35,24,13,38,13,13,14,31,33,33,10,296
GL072022892,GL-B40,40,17/03/2022,16,17,22,20,24,24,24,19,38,18,37,13,272
NA,GL-B41,41,15/11/2022,32,31,18,16,13,18,15,25,15,40,25,23,271
GL072022876,GL-B41,41,15/11/2022,38,12,37,23,12,35,13,23,35,30,13,25,296
GL072022850,GL-B41,41,15/11/2022,37,37,38,22,10,40,29,25,11,27,28,38,342
GL072022866,GL-B41,41,15/11/2022,31,28,17,28,15,32,26,21,23,13,39,24,297
GL0120211995,GL-B41,41,15/11/2022,18,16,18,31,12,22,34,27,26,27,23,20,274
GL072022871,GL-B41,41,15/11/2022,33,17,31,32,16,34,29,32,22,32,13,39,330
GL072022873,GL-B41,41,15/11/2022,32,31,14,34,20,30,16,36,11,18,10,27,279
GL072022874,GL-B41,41,15/11/2022,28,23,11,26,31,29,28,30,36,22,14,38,316
GL072022875,GL-B41,41,15/11/2022,36,21,32,35,31,40,19,27,14,24,11,19,309
GL072022881,GL-B41,41,15/11/2022,16,14,27,12,21,34,24,32,31,18,11,22,262
GL072022880,GL-B41,41,15/11/2022,31,37,11,30,32,40,36,11,18,15,37,32,330
GL072022885,GL-B41,41,15/11/2022,15,40,12,31,10,10,40,23,37,13,24,36,291
GL072022886,GL-B41,41,15/11/2022,30,16,15,18,22,21,39,11,13,13,39,30,267
GL072022887,GL-B41,41,15/11/2022,24,26,16,20,18,39,34,22,18,37,31,12,297
GL072022888,GL-B41,41,15/11/2022,15,25,24,25,37,38,16,21,10,11,30,24,276
GL072022893,GL-B41,41,15/11/2022,21,28,18,10,24,12,27,23,25,23,30,35,276
