SEN No.,Batch No,Lms engagement throughout course,Class Commencement Date,Class End Date,Total time enrolled,Total observed time,Retention Rate
GL072022811,40,300,17/03/2022,17/01/2023,306,0,#DIV/0!
GL072022814,40,341,17/03/2022,17/01/2023,306,-41,-7.46
GL072022820,40,328,17/03/2022,17/01/2023,306,-28,-10.93
GL072022821,40,297,17/03/2022,17/01/2023,306,3,102.00
GL072022822,40,276,17/03/2022,17/01/2023,306,24,12.75
GL072022823,40,342,17/03/2022,17/01/2023,306,-42,-7.29
GL072022830,40,301,17/03/2022,17/01/2023,306,-1,-306.00
NA,40,311,17/03/2022,17/01/2023,306,-11,-27.82
GL072022833,40,328,17/03/2022,17/01/2023,306,-28,-10.93
GL072022841,40,337,17/03/2022,17/01/2023,306,-37,-8.27
GL072022843,40,284,17/03/2022,17/01/2023,306,16,19.13
GL072022845,40,373,17/03/2022,17/01/2023,306,-73,-4.19
GL072022849,40,347,17/03/2022,17/01/2023,306,-47,-6.51
GL072022839,40,305,17/03/2022,17/01/2023,306,-5,-61.20
GL072022846,40,304,17/03/2022,17/01/2023,306,-4,-76.50
GL072022853,40,284,17/03/2022,17/01/2023,306,16,19.13
GL072022852,40,322,17/03/2022,17/01/2023,306,-22,-13.91
GL072022856,40,298,17/03/2022,17/01/2023,306,2,153.00
GL072022857,40,297,17/03/2022,17/01/2023,306,3,102.00
GL072022860,40,297,17/03/2022,17/01/2023,306,3,102.00
GL082022938,40,323,17/03/2022,17/01/2023,306,-23,-13.30
GL032022397,40,298,17/03/2022,17/01/2023,306,2,153.00
GL032022361,40,253,17/03/2022,17/01/2023,306,47,6.51
GL062022749,40,304,17/03/2022,17/01/2023,306,-4,-76.50
GL052022617,40,259,17/03/2022,17/01/2023,306,41,7.46
GL072022803,40,276,17/03/2022,17/01/2023,306,24,12.75
GL062022712,40,296,17/03/2022,17/01/2023,306,4,76.50
GL072022892,40,272,17/03/2022,17/01/2023,306,28,10.93
NA,40,311,17/03/2022,17/01/2023,306,-11,-27.82
GL072022876,40,296,17/03/2022,17/01/2023,306,4,76.50
GL072022850,41,342,15/11/2022,15/09/2023,304,-42,-7.24
GL072022866,41,297,15/11/2022,15/09/2023,304,3,101.33
GL0120211995,41,274,15/11/2022,15/09/2023,304,26,11.69
GL072022871,41,330,15/11/2022,15/09/2023,304,-30,-10.13
GL072022873,41,279,15/11/2022,15/09/2023,304,21,14.48
GL072022874,41,316,15/11/2022,15/09/2023,304,-16,-19.00
GL072022875,41,309,15/11/2022,15/09/2023,304,-9,-33.78
GL072022881,41,262,15/11/2022,15/09/2023,304,38,8.00
GL072022880,41,330,15/11/2022,15/09/2023,304,-30,-10.13
GL072022885,41,291,15/11/2022,15/09/2023,304,9,33.78
GL072022886,41,267,15/11/2022,15/09/2023,304,33,9.21
GL072022887,41,297,15/11/2022,15/09/2023,304,3,101.33
GL072022888,41,276,15/11/2022,15/09/2023,304,24,12.67
GL072022893,41,276,15/11/2022,15/09/2023,304,24,12.67
GL072022902,41,327,15/11/2022,15/09/2023,304,-27,-11.26
GL072022907,41,308,15/11/2022,15/09/2023,304,-8,-38.00
NA,41,311,15/11/2022,15/09/2023,304,-11,-27.64
GL072022911,41,343,15/11/2022,15/09/2023,304,-43,-7.07
GL072022918,41,221,15/11/2022,15/09/2023,304,79,3.85
GL072022920,41,214,15/11/2022,15/09/2023,304,86,3.53
GL072022878,41,318,15/11/2022,15/09/2023,304,-18,-16.89
NA,41,311,15/11/2022,15/09/2023,304,-11,-27.64
GL082022941,41,256,15/11/2022,15/09/2023,304,44,6.91
GL082022942,41,304,15/11/2022,15/09/2023,304,-4,-76.00
GL042022455,41,296,15/11/2022,15/09/2023,304,4,76.00
GL062022777,41,276,15/11/2022,15/09/2023,304,24,12.67
GL072022819,41,306,15/11/2022,15/09/2023,304,-6,-50.67
GL1020221412,41,294,15/11/2022,15/09/2023,304,6,50.67
NA,41,311,15/11/2022,15/09/2023,304,-11,-27.64
GL072022889,42,275,16/02/2022,16/12/2022,303,25,12.12
GL0120211996,42,339,16/02/2022,16/12/2022,303,-39,-7.77
GL072022915,42,287,16/02/2022,16/12/2022,303,13,23.31
GL072022926,42,314,16/02/2022,16/12/2022,303,-14,-21.64
GL072022929,42,339,16/02/2022,16/12/2022,303,-39,-7.77
GL072022931,42,267,16/02/2022,16/12/2022,303,33,9.18
GL072022854,42,310,16/02/2022,16/12/2022,303,-10,-30.30
GL082022939,42,281,16/02/2022,16/12/2022,303,19,15.95
GL082022945,42,245,16/02/2022,16/12/2022,303,55,5.51
GL082022950,42,296,16/02/2022,16/12/2022,303,4,75.75
GL082022952,42,328,16/02/2022,16/12/2022,303,-28,-10.82
GL082022948,42,359,16/02/2022,16/12/2022,303,-59,-5.14
GL082022949,42,319,16/02/2022,16/12/2022,303,-19,-15.95
GL082022953,42,284,16/02/2022,16/12/2022,303,16,18.94
GL082022957,42,267,16/02/2022,16/12/2022,303,33,9.18
GL082022958,42,322,16/02/2022,16/12/2022,303,-22,-13.77
GL082022960,42,326,16/02/2022,16/12/2022,303,-26,-11.65
GL082022963,42,287,16/02/2022,16/12/2022,303,13,23.31
GL082022961,42,319,16/02/2022,16/12/2022,303,-19,-15.95
GL082022965,42,340,16/02/2022,16/12/2022,303,-40,-7.58
GL052022622,42,257,16/02/2022,16/12/2022,303,43,7.05
GL042022475,42,309,16/02/2022,16/12/2022,303,-9,-33.67
GL052022563,42,317,16/02/2022,16/12/2022,303,-17,-17.82
GL062022746,42,253,16/02/2022,16/12/2022,303,47,6.45
GL082022970,42,321,16/02/2022,16/12/2022,303,-21,-14.43
GL072022825,42,288,16/02/2022,16/12/2022,303,12,25.25
GL072022817,42,261,16/02/2022,16/12/2022,303,39,7.77
GL072022858,42,305,16/02/2022,16/12/2022,303,-5,-60.60
GL112021217,42,272,16/02/2022,16/12/2022,303,28,10.82
GL032022374,42,278,16/02/2022,16/12/2022,303,22,13.77
GL062022698,42,251,16/02/2022,16/12/2022,303,49,6.18
GL072022891,43,321,17/01/2022,17/11/2022,304,-21,-14.48
GL072022824,43,295,17/01/2022,17/11/2022,304,5,60.80
GL072022844,43,352,17/01/2022,17/11/2022,304,-52,-5.85
NA,43,311,17/01/2022,17/11/2022,304,-11,-27.64
NA,43,311,17/01/2022,17/11/2022,304,-11,-27.64
GL072022896,43,303,17/01/2022,17/11/2022,304,-3,-101.33
GL072022895,43,278,17/01/2022,17/11/2022,304,22,13.82
GL072022897,43,285,17/01/2022,17/11/2022,304,15,20.27
NA,43,311,17/01/2022,17/11/2022,304,-11,-27.64
GL072022900,43,315,17/01/2022,17/11/2022,304,-15,-20.27
NA,43,311,17/01/2022,17/11/2022,304,-11,-27.64
GL072022879,43,330,17/01/2022,17/11/2022,304,-30,-10.13
GL072022906,43,262,17/01/2022,17/11/2022,304,38,8.00
GL072022909,43,288,17/01/2022,17/11/2022,304,12,25.33
GL072022913,43,303,17/01/2022,17/11/2022,304,-3,-101.33
GL072022916,43,302,17/01/2022,17/11/2022,304,-2,-152.00
GL072022917,43,281,17/01/2022,17/11/2022,304,19,16.00
GL072022919,43,261,17/01/2022,17/11/2022,304,39,7.79
GL072022922,43,269,17/01/2022,17/11/2022,304,31,9.81
GL072022923,43,273,17/01/2022,17/11/2022,304,27,11.26
GL072022924,43,265,17/01/2022,17/11/2022,304,35,8.69
GL072022925,43,286,17/01/2022,17/11/2022,304,14,21.71
GL072022903,43,288,17/01/2022,17/11/2022,304,12,25.33
GL072022927,43,318,17/01/2022,17/11/2022,304,-18,-16.89
GL072022928,43,309,17/01/2022,17/11/2022,304,-9,-33.78
NA,43,311,17/01/2022,17/11/2022,304,-11,-27.64
GL072022932,43,264,17/01/2022,17/11/2022,304,36,8.44
GL072022933,43,314,17/01/2022,17/11/2022,304,-14,-21.71
GL082022940,43,324,17/01/2022,17/11/2022,304,-24,-12.67
GL072022935,43,339,17/01/2022,17/11/2022,304,-39,-7.79
GL082022944,43,258,17/01/2022,17/11/2022,304,42,7.24
GL082022946,43,270,17/01/2022,17/11/2022,304,30,10.13
GL072022898,43,262,17/01/2022,17/11/2022,304,38,8.00
GL072022834,43,282,17/01/2022,17/11/2022,304,18,16.89
GL082022971,43,267,17/01/2022,17/11/2022,304,33,9.21
GL062022755,43,285,17/01/2022,17/11/2022,304,15,20.27
GL082021091,43,248,17/01/2022,17/11/2022,304,52,5.85
GL122021252,43,293,17/01/2022,17/11/2022,304,7,43.43
GL052022597,43,301,17/01/2022,17/11/2022,304,-1,-304.00
GL082022968,43,326,17/01/2022,17/11/2022,304,-26,-11.69
GL082022937,43,352,17/01/2022,17/11/2022,304,-52,-5.85
GL072022810,43,264,17/01/2022,17/11/2022,304,36,8.44
GL062022730,43,307,17/01/2022,17/11/2022,304,-7,-43.43
GL062022755,43,285,17/01/2022,17/11/2022,304,15,20.27
GL082022947,44,291,21/01/2022,21/11/2022,304,9,33.78
GL082022966,44,315,21/01/2022,21/11/2022,304,-15,-20.27
NA,44,311,21/01/2022,21/11/2022,304,-11,-27.64
GL0920221173,44,302,21/01/2022,21/11/2022,304,-2,-152.00
GL072022868,44,349,21/01/2022,21/11/2022,304,-49,-6.20
GL082022979,44,302,21/01/2022,21/11/2022,304,-2,-152.00
GL082022985,44,324,21/01/2022,21/11/2022,304,-24,-12.67
GL082022987,44,274,21/01/2022,21/11/2022,304,26,11.69
GL082022988,44,299,21/01/2022,21/11/2022,304,1,304.00
GL082022989,44,280,21/01/2022,21/11/2022,304,20,15.20
GL082022990,44,288,21/01/2022,21/11/2022,304,12,25.33
GL082022954,44,290,21/01/2022,21/11/2022,304,10,30.40
GL082022997,44,299,21/01/2022,21/11/2022,304,1,304.00
GL082022995,44,243,21/01/2022,21/11/2022,304,57,5.33
GL0820221001,44,246,21/01/2022,21/11/2022,304,54,5.63
GL0820221004,44,274,21/01/2022,21/11/2022,304,26,11.69
GL0820221006,44,321,21/01/2022,21/11/2022,304,-21,-14.48
GL0820221010,44,326,21/01/2022,21/11/2022,304,-26,-11.69
GL0820221007,44,252,21/01/2022,21/11/2022,304,48,6.33
GL0820221015,44,288,21/01/2022,21/11/2022,304,12,25.33
GL0820221019,44,248,21/01/2022,21/11/2022,304,52,5.85
GL0820221021,44,323,21/01/2022,21/11/2022,304,-23,-13.22
GL0820221098,44,298,21/01/2022,21/11/2022,304,2,152.00
GL0820221114,44,326,21/01/2022,21/11/2022,304,-26,-11.69
GL0820221112,44,250,21/01/2022,21/11/2022,304,50,6.08
NA,44,311,21/01/2022,21/11/2022,304,-11,-27.64
GL0820221023,45,288,09/03/2022,09/01/2023,306,12,25.50
GL0820221027,45,345,09/03/2022,09/01/2023,306,-45,-6.80
NA,45,311,09/03/2022,09/01/2023,306,-11,-27.82
GL0820221038,45,304,09/03/2022,09/01/2023,306,-4,-76.50
GL0820221043,45,272,09/03/2022,09/01/2023,306,28,10.93
NA,45,311,09/03/2022,09/01/2023,306,-11,-27.82
GL0820221051,45,220,09/03/2022,09/01/2023,306,80,3.83
GL0820221053,45,257,09/03/2022,09/01/2023,306,43,7.12
GL0820221055,45,329,09/03/2022,09/01/2023,306,-29,-10.55
GL0820221056,45,236,09/03/2022,09/01/2023,306,64,4.78
GL0820221062,45,329,09/03/2022,09/01/2023,306,-29,-10.55
GL0820221044,45,245,09/03/2022,09/01/2023,306,55,5.56
GL0820221071,45,346,09/03/2022,09/01/2023,306,-46,-6.65
GL0820221072,45,303,09/03/2022,09/01/2023,306,-3,-102.00
GL0820221075,45,325,09/03/2022,09/01/2023,306,-25,-12.24
GL0820221077,45,313,09/03/2022,09/01/2023,306,-13,-23.54
GL0820221082,45,279,09/03/2022,09/01/2023,306,21,14.57
GL0820221087,45,332,09/03/2022,09/01/2023,306,-32,-9.56
GL0820221088,45,213,09/03/2022,09/01/2023,306,87,3.52
GL0820221091,45,248,09/03/2022,09/01/2023,306,52,5.88
GL0820221079,45,317,09/03/2022,09/01/2023,306,-17,-18.00
GL0820221092,45,301,09/03/2022,09/01/2023,306,-1,-306.00
GL0820221090,45,293,09/03/2022,09/01/2023,306,7,43.71
GL0820221093,45,274,09/03/2022,09/01/2023,306,26,11.77
GL0820221096,45,324,09/03/2022,09/01/2023,306,-24,-12.75
NA,45,311,09/03/2022,09/01/2023,306,-11,-27.82
GL0820221108,45,277,09/03/2022,09/01/2023,306,23,13.30
GL0820221109,45,313,09/03/2022,09/01/2023,306,-13,-23.54
GL0820221102,45,334,09/03/2022,09/01/2023,306,-34,-9.00
GL0820221106,45,295,09/03/2022,09/01/2023,306,5,61.20
GL082022968,45,326,09/03/2022,09/01/2023,306,-26,-11.77
GL0820221120,45,286,09/03/2022,09/01/2023,306,14,21.86
GL082022969,45,284,09/03/2022,09/01/2023,306,16,19.13
GL082022936,45,297,09/03/2022,09/01/2023,306,3,102.00
GL082022967,46,245,21/03/2022,21/01/2023,306,55,5.56
GL082022972,46,282,21/03/2022,21/01/2023,306,18,17.00
GL082022975,46,332,21/03/2022,21/01/2023,306,-32,-9.56
GL082022976,46,219,21/03/2022,21/01/2023,306,81,3.78
GL082022978,46,240,21/03/2022,21/01/2023,306,60,5.10
GL082022977,46,337,21/03/2022,21/01/2023,306,-37,-8.27
GL082022956,46,241,21/03/2022,21/01/2023,306,59,5.19
GL072022905,46,279,21/03/2022,21/01/2023,306,21,14.57
GL082022981,46,333,21/03/2022,21/01/2023,306,-33,-9.27
GL082022980,46,303,21/03/2022,21/01/2023,306,-3,-102.00
GL082022984,46,310,21/03/2022,21/01/2023,306,-10,-30.60
GL082022983,46,284,21/03/2022,21/01/2023,306,16,19.13
GL082022986,46,274,21/03/2022,21/01/2023,306,26,11.77
GL082022991,46,284,21/03/2022,21/01/2023,306,16,19.13
GL082022993,46,286,21/03/2022,21/01/2023,306,14,21.86
GL082022994,46,281,21/03/2022,21/01/2023,306,19,16.11
GL0820221003,46,273,21/03/2022,21/01/2023,306,27,11.33
GL0820221005,46,272,21/03/2022,21/01/2023,306,28,10.93
GL0820221008,46,348,21/03/2022,21/01/2023,306,-48,-6.38
GL0820221009,46,232,21/03/2022,21/01/2023,306,68,4.50
GL0820221011,46,307,21/03/2022,21/01/2023,306,-7,-43.71
GL0820221013,46,276,21/03/2022,21/01/2023,306,24,12.75
GL0820221020,46,338,21/03/2022,21/01/2023,306,-38,-8.05
GL0820221018,46,315,21/03/2022,21/01/2023,306,-15,-20.40
GL0820221016,46,308,21/03/2022,21/01/2023,306,-8,-38.25
GL0820221024,46,337,21/03/2022,21/01/2023,306,-37,-8.27
GL0820221025,46,272,21/03/2022,21/01/2023,306,28,10.93
GL0820221022,46,222,21/03/2022,21/01/2023,306,78,3.92
GL0820221032,46,275,21/03/2022,21/01/2023,306,25,12.24
GL0820221028,46,280,21/03/2022,21/01/2023,306,20,15.30
GL0820221033,46,278,21/03/2022,21/01/2023,306,22,13.91
GL082022951,46,307,21/03/2022,21/01/2023,306,-7,-43.71
GL0820221035,46,306,21/03/2022,21/01/2023,306,-6,-51.00
GL0820221034,46,268,21/03/2022,21/01/2023,306,32,9.56
GL0820221026,46,318,21/03/2022,21/01/2023,306,-18,-17.00
GL0820221036,46,337,21/03/2022,21/01/2023,306,-37,-8.27
GL0820221037,46,291,21/03/2022,21/01/2023,306,9,34.00
GL0820221030,46,293,21/03/2022,21/01/2023,306,7,43.71
GL0820221029,46,299,21/03/2022,21/01/2023,306,1,306.00
NA,46,311,21/03/2022,21/01/2023,306,-11,-27.82
GL042022450,46,349,21/03/2022,21/01/2023,306,-49,-6.24
GL0820221065,46,306,21/03/2022,21/01/2023,306,-6,-51.00
GL072022877,46,270,21/03/2022,21/01/2023,306,30,10.20
GL062022680,46,325,21/03/2022,21/01/2023,306,-25,-12.24
GL042022450,46,349,21/03/2022,21/01/2023,306,-49,-6.24
GL032022377,46,308,21/03/2022,21/01/2023,306,-8,-38.25
GL0820221039,47,320,10/04/2022,10/02/2023,306,-20,-15.30
GL0820221048,47,275,10/04/2022,10/02/2023,306,25,12.24
GL0820221047,47,277,10/04/2022,10/02/2023,306,23,13.30
GL0820221050,47,318,10/04/2022,10/02/2023,306,-18,-17.00
GL0820221054,47,291,10/04/2022,10/02/2023,306,9,34.00
GL042022508,47,334,10/04/2022,10/02/2023,306,-34,-9.00
GL0820221042,47,288,10/04/2022,10/02/2023,306,12,25.50
GL0820221049,47,315,10/04/2022,10/02/2023,306,-15,-20.40
GL0820221052,47,201,10/04/2022,10/02/2023,306,99,3.09
NA,47,311,10/04/2022,10/02/2023,306,-11,-27.82
GL0820221045,47,283,10/04/2022,10/02/2023,306,17,18.00
GL0820221058,47,269,10/04/2022,10/02/2023,306,31,9.87
GL0820221063,47,252,10/04/2022,10/02/2023,306,48,6.38
GL0820221040,47,297,10/04/2022,10/02/2023,306,3,102.00
GL0820221070,47,273,10/04/2022,10/02/2023,306,27,11.33
GL0820221067,47,242,10/04/2022,10/02/2023,306,58,5.28
GL0820221068,47,283,10/04/2022,10/02/2023,306,17,18.00
GL0820221069,47,328,10/04/2022,10/02/2023,306,-28,-10.93
GL0820221073,47,267,10/04/2022,10/02/2023,306,33,9.27
GL0820221076,47,214,10/04/2022,10/02/2023,306,86,3.56
GL0820221081,47,308,10/04/2022,10/02/2023,306,-8,-38.25
GL0820221083,47,296,10/04/2022,10/02/2023,306,4,76.50
GL0820221084,47,314,10/04/2022,10/02/2023,306,-14,-21.86
GL0820221085,47,291,10/04/2022,10/02/2023,306,9,34.00
GL0820221086,47,260,10/04/2022,10/02/2023,306,40,7.65
GL0820221089,47,346,10/04/2022,10/02/2023,306,-46,-6.65
GL0820221078,47,288,10/04/2022,10/02/2023,306,12,25.50
GL0820221094,47,307,10/04/2022,10/02/2023,306,-7,-43.71
GL0820221095,47,301,10/04/2022,10/02/2023,306,-1,-306.00
GL0820221100,47,324,10/04/2022,10/02/2023,306,-24,-12.75
GL0820221099,47,332,10/04/2022,10/02/2023,306,-32,-9.56
GL0820221107,47,305,10/04/2022,10/02/2023,306,-5,-61.20
GL0820221103,47,304,10/04/2022,10/02/2023,306,-4,-76.50
GL0820221105,47,331,10/04/2022,10/02/2023,306,-31,-9.87
GL0820221113,47,264,10/04/2022,10/02/2023,306,36,8.50
GL0820221118,47,293,10/04/2022,10/02/2023,306,7,43.71
GL0820221119,47,272,10/04/2022,10/02/2023,306,28,10.93
GL082022999,47,262,10/04/2022,10/02/2023,306,38,8.05
GL062022740,47,318,10/04/2022,10/02/2023,306,-18,-17.00
GL072022864,47,304,10/04/2022,10/02/2023,306,-4,-76.50
GL082022998,47,309,10/04/2022,10/02/2023,306,-9,-34.00
GL0820221017,48,272,05/06/2022,05/04/2023,304,28,10.86
GL0820221064,48,286,05/06/2022,05/04/2023,304,14,21.71
GL0820221074,48,313,05/06/2022,05/04/2023,304,-13,-23.38
GL0920221122,48,321,05/06/2022,05/04/2023,304,-21,-14.48
GL0920221125,48,322,05/06/2022,05/04/2023,304,-22,-13.82
GL0920221127,48,296,05/06/2022,05/04/2023,304,4,76.00
GL0920221128,48,332,05/06/2022,05/04/2023,304,-32,-9.50
GL0920221130,48,298,05/06/2022,05/04/2023,304,2,152.00
GL0920221136,48,320,05/06/2022,05/04/2023,304,-20,-15.20
GL0920221137,48,353,05/06/2022,05/04/2023,304,-53,-5.74
GL0920221138,48,255,05/06/2022,05/04/2023,304,45,6.76
GL0920221140,48,319,05/06/2022,05/04/2023,304,-19,-16.00
GL0920221144,48,316,05/06/2022,05/04/2023,304,-16,-19.00
GL0120211999,48,321,05/06/2022,05/04/2023,304,-21,-14.48
GL0920221148,48,366,05/06/2022,05/04/2023,304,-66,-4.61
GL0920221150,48,286,05/06/2022,05/04/2023,304,14,21.71
GL0920221151,48,233,05/06/2022,05/04/2023,304,67,4.54
GL0920221146,48,319,05/06/2022,05/04/2023,304,-19,-16.00
GL0820221080,48,306,05/06/2022,05/04/2023,304,-6,-50.67
GL0920221154,48,274,05/06/2022,05/04/2023,304,26,11.69
GL0920221155,48,312,05/06/2022,05/04/2023,304,-12,-25.33
GL0920221159,48,280,05/06/2022,05/04/2023,304,20,15.20
GL0920221163,48,275,05/06/2022,05/04/2023,304,25,12.16
GL072022908,48,273,05/06/2022,05/04/2023,304,27,11.26
GL0920221166,48,292,05/06/2022,05/04/2023,304,8,38.00
GL0920221169,48,267,05/06/2022,05/04/2023,304,33,9.21
GL0920221174,48,305,05/06/2022,05/04/2023,304,-5,-60.80
GL0920221177,48,316,05/06/2022,05/04/2023,304,-16,-19.00
GL0920221181,48,283,05/06/2022,05/04/2023,304,17,17.88
GL0920221187,48,261,05/06/2022,05/04/2023,304,39,7.79
GL0920221182,48,251,05/06/2022,05/04/2023,304,49,6.20
GL082022955,48,298,05/06/2022,05/04/2023,304,2,152.00
GL122021229,48,274,05/06/2022,05/04/2023,304,26,11.69
GL042022474,48,328,05/06/2022,05/04/2023,304,-28,-10.86
GL0920221202,48,376,05/06/2022,05/04/2023,304,-76,-4.00
GL0920221204,48,274,05/06/2022,05/04/2023,304,26,11.69
GL0920221208,48,335,05/06/2022,05/04/2023,304,-35,-8.69
GL0920221209,48,319,05/06/2022,05/04/2023,304,-19,-16.00
GL0920221213,48,301,05/06/2022,05/04/2023,304,-1,-304.00
GL0920221214,48,300,05/06/2022,05/04/2023,304,0,#DIV/0!
GL0820221014,48,284,05/06/2022,05/04/2023,304,16,19.00
GL0820221012,48,272,05/06/2022,05/04/2023,304,28,10.86
GL0920221238,48,355,05/06/2022,05/04/2023,304,-55,-5.53
GL072022890,48,267,05/06/2022,05/04/2023,304,33,9.21
GL0920221183,48,311,05/06/2022,05/04/2023,304,-11,-27.64
GL082022955,48,298,05/06/2022,05/04/2023,304,2,152.00
GL0820221066,49,319,17/08/2022,17/06/2023,304,-19,-16.00
GL0920221121,49,310,17/08/2022,17/06/2023,304,-10,-30.40
GL0920221129,49,294,17/08/2022,17/06/2023,304,6,50.67
GL0920221131,49,334,17/08/2022,17/06/2023,304,-34,-8.94
GL0920221133,49,335,17/08/2022,17/06/2023,304,-35,-8.69
GL0920221162,49,319,17/08/2022,17/06/2023,304,-19,-16.00
GL0920221175,49,280,17/08/2022,17/06/2023,304,20,15.20
GL0920221188,49,367,17/08/2022,17/06/2023,304,-67,-4.54
GL0920221190,49,247,17/08/2022,17/06/2023,304,53,5.74
NA,49,311,17/08/2022,17/06/2023,304,-11,-27.64
GL0920221197,49,321,17/08/2022,17/06/2023,304,-21,-14.48
GL0920221199,49,322,17/08/2022,17/06/2023,304,-22,-13.82
GL0920221203,49,321,17/08/2022,17/06/2023,304,-21,-14.48
GL0920221207,49,284,17/08/2022,17/06/2023,304,16,19.00
GL0920221200,49,361,17/08/2022,17/06/2023,304,-61,-4.98
GL0920221211,49,322,17/08/2022,17/06/2023,304,-22,-13.82
NA,49,311,17/08/2022,17/06/2023,304,-11,-27.64
GL0920221139,49,295,17/08/2022,17/06/2023,304,5,60.80
GL0820221114,49,326,17/08/2022,17/06/2023,304,-26,-11.69
GL0820221111,50,294,22/11/2022,22/09/2023,304,6,50.67
GL0920221124,50,309,22/11/2022,22/09/2023,304,-9,-33.78
GL0820221117,50,272,22/11/2022,22/09/2023,304,28,10.86
GL0920221132,50,307,22/11/2022,22/09/2023,304,-7,-43.43
GL0920221135,50,245,22/11/2022,22/09/2023,304,55,5.53
GL0920221134,50,310,22/11/2022,22/09/2023,304,-10,-30.40
GL0920221153,50,285,22/11/2022,22/09/2023,304,15,20.27
GL0920221156,50,283,22/11/2022,22/09/2023,304,17,17.88
GL0920221157,50,289,22/11/2022,22/09/2023,304,11,27.64
GL0920221158,50,299,22/11/2022,22/09/2023,304,1,304.00
GL0920221164,50,330,22/11/2022,22/09/2023,304,-30,-10.13
GL0920221171,50,307,22/11/2022,22/09/2023,304,-7,-43.43
GL0920221172,50,284,22/11/2022,22/09/2023,304,16,19.00
GL0920221168,50,292,22/11/2022,22/09/2023,304,8,38.00
GL0920221176,50,287,22/11/2022,22/09/2023,304,13,23.38
GL0920221178,50,367,22/11/2022,22/09/2023,304,-67,-4.54
GL0920221179,50,261,22/11/2022,22/09/2023,304,39,7.79
GL0920221180,50,224,22/11/2022,22/09/2023,304,76,4.00
GL0920221184,50,324,22/11/2022,22/09/2023,304,-24,-12.67
GL0920221185,50,329,22/11/2022,22/09/2023,304,-29,-10.48
GL0920221186,50,274,22/11/2022,22/09/2023,304,26,11.69
GL0920221191,50,315,22/11/2022,22/09/2023,304,-15,-20.27
GL0920221193,50,270,22/11/2022,22/09/2023,304,30,10.13
GL0920221194,50,281,22/11/2022,22/09/2023,304,19,16.00
GL0920221198,50,263,22/11/2022,22/09/2023,304,37,8.22
GL0920221201,50,295,22/11/2022,22/09/2023,304,5,60.80
GL0920221210,50,286,22/11/2022,22/09/2023,304,14,21.71
GL0920221206,50,277,22/11/2022,22/09/2023,304,23,13.22
GL0920221215,50,316,22/11/2022,22/09/2023,304,-16,-19.00
GL0920221189,50,305,22/11/2022,22/09/2023,304,-5,-60.80
GL052022597,50,301,22/11/2022,22/09/2023,304,-1,-304.00
GL0920221142,51,285,03/06/2022,03/04/2023,304,15,20.27
GL0920221216,51,351,03/06/2022,03/04/2023,304,-51,-5.96
GL0920221217,51,339,03/06/2022,03/04/2023,304,-39,-7.79
GL0920221218,51,295,03/06/2022,03/04/2023,304,5,60.80
GL0920221219,51,295,03/06/2022,03/04/2023,304,5,60.80
GL0920221221,51,302,03/06/2022,03/04/2023,304,-2,-152.00
GL0920221225,51,324,03/06/2022,03/04/2023,304,-24,-12.67
GL0920221227,51,283,03/06/2022,03/04/2023,304,17,17.88
GL0920221228,51,335,03/06/2022,03/04/2023,304,-35,-8.69
GL0920221231,51,312,03/06/2022,03/04/2023,304,-12,-25.33
GL0920221234,51,275,03/06/2022,03/04/2023,304,25,12.16
GL0920221236,51,318,03/06/2022,03/04/2023,304,-18,-16.89
GL0920221243,51,327,03/06/2022,03/04/2023,304,-27,-11.26
GL0920221245,51,272,03/06/2022,03/04/2023,304,28,10.86
GL0920221247,51,275,03/06/2022,03/04/2023,304,25,12.16
GL0920221250,51,321,03/06/2022,03/04/2023,304,-21,-14.48
GL0920221252,51,252,03/06/2022,03/04/2023,304,48,6.33
GL0920221253,51,308,03/06/2022,03/04/2023,304,-8,-38.00
GL0920221257,51,357,03/06/2022,03/04/2023,304,-57,-5.33
GL0920221259,51,252,03/06/2022,03/04/2023,304,48,6.33
GL0920221261,51,269,03/06/2022,03/04/2023,304,31,9.81
GL0920221266,51,319,03/06/2022,03/04/2023,304,-19,-16.00
GL0920221270,51,355,03/06/2022,03/04/2023,304,-55,-5.53
GL0920221271,51,297,03/06/2022,03/04/2023,304,3,101.33
GL0920221274,51,297,03/06/2022,03/04/2023,304,3,101.33
GL0920221278,51,281,03/06/2022,03/04/2023,304,19,16.00
GL0920221279,51,296,03/06/2022,03/04/2023,304,4,76.00
GL0920221284,51,338,03/06/2022,03/04/2023,304,-38,-8.00
NA,51,311,03/06/2022,03/04/2023,304,-11,-27.64
GL0920221291,51,300,03/06/2022,03/04/2023,304,0,#DIV/0!
GL0920221297,51,342,03/06/2022,03/04/2023,304,-42,-7.24
GL0920221296,51,322,03/06/2022,03/04/2023,304,-22,-13.82
GL052022585,51,293,03/06/2022,03/04/2023,304,7,43.43
GL1020221307,51,322,03/06/2022,03/04/2023,304,-22,-13.82
GL1020221310,51,328,03/06/2022,03/04/2023,304,-28,-10.86
GL1020221311,51,295,03/06/2022,03/04/2023,304,5,60.80
GL1020221312,51,303,03/06/2022,03/04/2023,304,-3,-101.33
GL0920221172,51,284,03/06/2022,03/04/2023,304,16,19.00
GL082022969,51,284,03/06/2022,03/04/2023,304,16,19.00
GL0920221290,51,282,03/06/2022,03/04/2023,304,18,16.89
