SEN No.,Batch id,Batch No,Class Commencement Date,Assessment Date,Excel,Excel %Score,Assessment Date,Power BI,Power BI %Score,Assessment Date,SQL,SQL %Score,Assessment Date,Statistics,Statistics %Score,Assessment Date,Python,Python %Score,Assessment Date,Machine Learning,Machine Learning %Score,Assessment Date,AWS,AWS %Score,Assessment Date,Deep Learning,Deep Learning %Score,Assessment Date,NLP,NLP %Score,Total Marks,Pass Rate,Total Avg %,Pass/Fail
GL0820221109,GL-B45,45,09/03/2022,09/04/2022,39,65.00,09/05/2022,31,51.67,09/06/2022,41,68.33,09/07/2022,51,85.00,09/08/2022,59,98.33,09/09/2022,37,61.67,09/10/2022,59,98.33,09/11/2022,57,95.00,09/12/2022,56,93.33,60,40,79.63,Pass
GL0820221102,GL-B45,45,09/03/2022,09/04/2022,12,20.00,09/05/2022,10,16.67,09/06/2022,1,1.67,09/07/2022,54,90.00,09/08/2022,20,33.33,09/09/2022,47,78.33,09/10/2022,13,21.67,09/11/2022,11,18.33,09/12/2022,52,86.67,60,40,40.74,Fail
GL0820221106,GL-B45,45,09/03/2022,09/04/2022,33,55.00,09/05/2022,34,56.67,09/06/2022,56,93.33,09/07/2022,42,70.00,09/08/2022,57,95.00,09/09/2022,29,48.33,09/10/2022,47,78.33,09/11/2022,16,26.67,09/12/2022,53,88.33,60,40,67.96,Pass
GL082022968,GL-B45,45,09/03/2022,09/04/2022,23,38.33,09/05/2022,46,76.67,09/06/2022,27,45.00,09/07/2022,36,60.00,09/08/2022,15,25.00,09/09/2022,1,1.67,09/10/2022,42,70.00,09/11/2022,57,95.00,09/12/2022,50,83.33,60,40,55.00,Pass
GL0820221120,GL-B45,45,09/03/2022,09/04/2022,40,66.67,09/05/2022,29,48.33,09/06/2022,14,23.33,09/07/2022,18,30.00,09/08/2022,36,60.00,09/09/2022,38,63.33,09/10/2022,11,18.33,09/11/2022,59,98.33,09/12/2022,59,98.33,60,40,56.30,Pass
GL082022969,GL-B45,45,09/03/2022,09/04/2022,47,78.33,09/05/2022,13,21.67,09/06/2022,28,46.67,09/07/2022,31,51.67,09/08/2022,20,33.33,09/09/2022,27,45.00,09/10/2022,36,60.00,09/11/2022,48,80.00,09/12/2022,59,98.33,60,40,57.22,Pass
GL082022936,GL-B45,45,09/03/2022,09/04/2022,44,73.33,09/05/2022,4,6.67,09/06/2022,42,70.00,09/07/2022,24,40.00,09/08/2022,44,73.33,09/09/2022,53,88.33,09/10/2022,39,65.00,09/11/2022,29,48.33,09/12/2022,19,31.67,60,40,55.19,Pass
GL082022967,GL-B46,46,21/03/2022,21/04/2022,9,15.00,21/05/2022,30,50.00,21/06/2022,30,50.00,21/07/2022,22,36.67,21/08/2022,47,78.33,21/09/2022,29,48.33,21/10/2022,17,28.33,21/11/2022,33,55.00,21/12/2022,53,88.33,60,40,50.00,Pass
GL082022972,GL-B46,46,21/03/2022,21/04/2022,5,8.33,21/05/2022,17,28.33,21/06/2022,50,83.33,21/07/2022,45,75.00,21/08/2022,57,95.00,21/09/2022,47,78.33,21/10/2022,46,76.67,21/11/2022,15,25.00,21/12/2022,24,40.00,60,40,56.67,Pass
GL082022975,GL-B46,46,21/03/2022,21/04/2022,41,68.33,21/05/2022,36,60.00,21/06/2022,32,53.33,21/07/2022,23,38.33,21/08/2022,56,93.33,21/09/2022,45,75.00,21/10/2022,29,48.33,21/11/2022,60,100.00,21/12/2022,39,65.00,60,40,66.85,Pass
GL082022976,GL-B46,46,21/03/2022,21/04/2022,30,50.00,21/05/2022,57,95.00,21/06/2022,34,56.67,21/07/2022,41,68.33,21/08/2022,7,11.67,21/09/2022,57,95.00,21/10/2022,60,100.00,21/11/2022,8,13.33,21/12/2022,19,31.67,60,40,57.96,Pass
GL082022978,GL-B46,46,21/03/2022,21/04/2022,54,90.00,21/05/2022,59,98.33,21/06/2022,28,46.67,21/07/2022,27,45.00,21/08/2022,11,18.33,21/09/2022,14,23.33,21/10/2022,33,55.00,21/11/2022,55,91.67,21/12/2022,6,10.00,60,40,53.15,Pass
GL082022977,GL-B46,46,21/03/2022,21/04/2022,57,95.00,21/05/2022,18,30.00,21/06/2022,46,76.67,21/07/2022,25,41.67,21/08/2022,47,78.33,21/09/2022,60,100.00,21/10/2022,55,91.67,21/11/2022,45,75.00,21/12/2022,5,8.33,60,40,66.30,Pass
GL082022956,GL-B46,46,21/03/2022,21/04/2022,35,58.33,21/05/2022,38,63.33,21/06/2022,25,41.67,21/07/2022,48,80.00,21/08/2022,17,28.33,21/09/2022,7,11.67,21/10/2022,55,91.67,21/11/2022,26,43.33,21/12/2022,3,5.00,60,40,47.04,Fail
GL072022905,GL-B46,46,21/03/2022,21/04/2022,9,15.00,21/05/2022,60,100.00,21/06/2022,20,33.33,21/07/2022,44,73.33,21/08/2022,22,36.67,21/09/2022,25,41.67,21/10/2022,52,86.67,21/11/2022,51,85.00,21/12/2022,32,53.33,60,40,58.33,Pass
GL082022981,GL-B46,46,21/03/2022,21/04/2022,20,33.33,21/05/2022,33,55.00,21/06/2022,42,70.00,21/07/2022,24,40.00,21/08/2022,39,65.00,21/09/2022,35,58.33,21/10/2022,39,65.00,21/11/2022,45,75.00,21/12/2022,40,66.67,60,40,58.70,Pass
GL082022980,GL-B46,46,21/03/2022,21/04/2022,16,26.67,21/05/2022,33,55.00,21/06/2022,1,1.67,21/07/2022,28,46.67,21/08/2022,13,21.67,21/09/2022,10,16.67,21/10/2022,58,96.67,21/11/2022,8,13.33,21/12/2022,55,91.67,60,40,41.11,Fail
GL082022984,GL-B46,46,21/03/2022,21/04/2022,26,43.33,21/05/2022,23,38.33,21/06/2022,31,51.67,21/07/2022,16,26.67,21/08/2022,46,76.67,21/09/2022,57,95.00,21/10/2022,59,98.33,21/11/2022,20,33.33,21/12/2022,8,13.33,60,40,52.96,Pass
GL082022983,GL-B46,46,21/03/2022,21/04/2022,49,81.67,21/05/2022,40,66.67,21/06/2022,46,76.67,21/07/2022,18,30.00,21/08/2022,18,30.00,21/09/2022,3,5.00,21/10/2022,17,28.33,21/11/2022,20,33.33,21/12/2022,52,86.67,60,40,48.70,Fail
GL082022986,GL-B46,46,21/03/2022,21/04/2022,9,15.00,21/05/2022,10,16.67,21/06/2022,43,71.67,21/07/2022,54,90.00,21/08/2022,55,91.67,21/09/2022,46,76.67,21/10/2022,47,78.33,21/11/2022,57,95.00,21/12/2022,31,51.67,60,40,65.19,Pass
GL082022991,GL-B46,46,21/03/2022,21/04/2022,44,73.33,21/05/2022,21,35.00,21/06/2022,33,55.00,21/07/2022,58,96.67,21/08/2022,39,65.00,21/09/2022,42,70.00,21/10/2022,39,65.00,21/11/2022,26,43.33,21/12/2022,50,83.33,60,40,65.19,Pass
GL082022993,GL-B46,46,21/03/2022,21/04/2022,8,13.33,21/05/2022,50,83.33,21/06/2022,7,11.67,21/07/2022,45,75.00,21/08/2022,22,36.67,21/09/2022,8,13.33,21/10/2022,1,1.67,21/11/2022,28,46.67,21/12/2022,59,98.33,60,40,42.22,Fail
GL082022994,GL-B46,46,21/03/2022,21/04/2022,41,68.33,21/05/2022,23,38.33,21/06/2022,54,90.00,21/07/2022,25,41.67,21/08/2022,35,58.33,21/09/2022,16,26.67,21/10/2022,5,8.33,21/11/2022,7,11.67,21/12/2022,43,71.67,60,40,46.11,Fail
GL0820221003,GL-B46,46,21/03/2022,21/04/2022,41,68.33,21/05/2022,41,68.33,21/06/2022,51,85.00,21/07/2022,12,20.00,21/08/2022,23,38.33,21/09/2022,51,85.00,21/10/2022,39,65.00,21/11/2022,33,55.00,21/12/2022,1,1.67,60,40,54.07,Pass
GL0820221005,GL-B46,46,21/03/2022,21/04/2022,25,41.67,21/05/2022,34,56.67,21/06/2022,1,1.67,21/07/2022,58,96.67,21/08/2022,60,100.00,21/09/2022,18,30.00,21/10/2022,6,10.00,21/11/2022,26,43.33,21/12/2022,46,76.67,60,40,50.74,Pass
GL0820221008,GL-B46,46,21/03/2022,21/04/2022,18,30.00,21/05/2022,30,50.00,21/06/2022,12,20.00,21/07/2022,12,20.00,21/08/2022,31,51.67,21/09/2022,8,13.33,21/10/2022,39,65.00,21/11/2022,40,66.67,21/12/2022,9,15.00,60,40,36.85,Fail
GL0820221009,GL-B46,46,21/03/2022,21/04/2022,47,78.33,21/05/2022,15,25.00,21/06/2022,53,88.33,21/07/2022,38,63.33,21/08/2022,26,43.33,21/09/2022,42,70.00,21/10/2022,50,83.33,21/11/2022,45,75.00,21/12/2022,15,25.00,60,40,61.30,Pass
GL0820221011,GL-B46,46,21/03/2022,21/04/2022,17,28.33,21/05/2022,46,76.67,21/06/2022,6,10.00,21/07/2022,2,3.33,21/08/2022,5,8.33,21/09/2022,29,48.33,21/10/2022,8,13.33,21/11/2022,51,85.00,21/12/2022,50,83.33,60,40,39.63,Fail
GL0820221013,GL-B46,46,21/03/2022,21/04/2022,17,28.33,21/05/2022,2,3.33,21/06/2022,56,93.33,21/07/2022,51,85.00,21/08/2022,1,1.67,21/09/2022,25,41.67,21/10/2022,30,50.00,21/11/2022,21,35.00,21/12/2022,35,58.33,60,40,44.07,Fail
GL0820221020,GL-B46,46,21/03/2022,21/04/2022,47,78.33,21/05/2022,51,85.00,21/06/2022,36,60.00,21/07/2022,18,30.00,21/08/2022,50,83.33,21/09/2022,37,61.67,21/10/2022,22,36.67,21/11/2022,36,60.00,21/12/2022,24,40.00,60,40,59.44,Pass
GL0820221018,GL-B46,46,21/03/2022,21/04/2022,36,60.00,21/05/2022,22,36.67,21/06/2022,48,80.00,21/07/2022,38,63.33,21/08/2022,25,41.67,21/09/2022,60,100.00,21/10/2022,41,68.33,21/11/2022,17,28.33,21/12/2022,24,40.00,60,40,57.59,Pass
GL0820221016,GL-B46,46,21/03/2022,21/04/2022,15,25.00,21/05/2022,5,8.33,21/06/2022,52,86.67,21/07/2022,47,78.33,21/08/2022,6,10.00,21/09/2022,26,43.33,21/10/2022,30,50.00,21/11/2022,49,81.67,21/12/2022,46,76.67,60,40,51.11,Pass
GL0820221024,GL-B46,46,21/03/2022,21/04/2022,15,25.00,21/05/2022,30,50.00,21/06/2022,40,66.67,21/07/2022,28,46.67,21/08/2022,3,5.00,21/09/2022,49,81.67,21/10/2022,17,28.33,21/11/2022,28,46.67,21/12/2022,13,21.67,60,40,41.30,Fail
GL0820221025,GL-B46,46,21/03/2022,21/04/2022,24,40.00,21/05/2022,5,8.33,21/06/2022,40,66.67,21/07/2022,45,75.00,21/08/2022,3,5.00,21/09/2022,36,60.00,21/10/2022,59,98.33,21/11/2022,47,78.33,21/12/2022,38,63.33,60,40,55.00,Pass
GL0820221022,GL-B46,46,21/03/2022,21/04/2022,36,60.00,21/05/2022,48,80.00,21/06/2022,19,31.67,21/07/2022,12,20.00,21/08/2022,57,95.00,21/09/2022,36,60.00,21/10/2022,54,90.00,21/11/2022,20,33.33,21/12/2022,9,15.00,60,40,53.89,Pass
GL0820221032,GL-B46,46,21/03/2022,21/04/2022,57,95.00,21/05/2022,39,65.00,21/06/2022,58,96.67,21/07/2022,2,3.33,21/08/2022,34,56.67,21/09/2022,34,56.67,21/10/2022,36,60.00,21/11/2022,54,90.00,21/12/2022,59,98.33,60,40,69.07,Pass
GL0820221028,GL-B46,46,21/03/2022,21/04/2022,22,36.67,21/05/2022,35,58.33,21/06/2022,2,3.33,21/07/2022,22,36.67,21/08/2022,14,23.33,21/09/2022,54,90.00,21/10/2022,47,78.33,21/11/2022,59,98.33,21/12/2022,26,43.33,60,40,52.04,Pass
GL0820221033,GL-B46,46,21/03/2022,21/04/2022,11,18.33,21/05/2022,6,10.00,21/06/2022,20,33.33,21/07/2022,17,28.33,21/08/2022,58,96.67,21/09/2022,10,16.67,21/10/2022,25,41.67,21/11/2022,20,33.33,21/12/2022,20,33.33,60,40,34.63,Fail
GL082022951,GL-B46,46,21/03/2022,21/04/2022,13,21.67,21/05/2022,55,91.67,21/06/2022,8,13.33,21/07/2022,6,10.00,21/08/2022,44,73.33,21/09/2022,13,21.67,21/10/2022,7,11.67,21/11/2022,4,6.67,21/12/2022,55,91.67,60,40,37.96,Fail
GL0820221035,GL-B46,46,21/03/2022,21/04/2022,53,88.33,21/05/2022,50,83.33,21/06/2022,7,11.67,21/07/2022,28,46.67,21/08/2022,13,21.67,21/09/2022,6,10.00,21/10/2022,52,86.67,21/11/2022,21,35.00,21/12/2022,59,98.33,60,40,53.52,Pass
GL0820221034,GL-B46,46,21/03/2022,21/04/2022,17,28.33,21/05/2022,1,1.67,21/06/2022,21,35.00,21/07/2022,2,3.33,21/08/2022,8,13.33,21/09/2022,20,33.33,21/10/2022,25,41.67,21/11/2022,54,90.00,21/12/2022,58,96.67,60,40,38.15,Fail
GL0820221026,GL-B46,46,21/03/2022,21/04/2022,57,95.00,21/05/2022,20,33.33,21/06/2022,42,70.00,21/07/2022,37,61.67,21/08/2022,39,65.00,21/09/2022,20,33.33,21/10/2022,17,28.33,21/11/2022,60,100.00,21/12/2022,33,55.00,60,40,60.19,Pass
GL0820221036,GL-B46,46,21/03/2022,21/04/2022,55,91.67,21/05/2022,17,28.33,21/06/2022,29,48.33,21/07/2022,57,95.00,21/08/2022,50,83.33,21/09/2022,2,3.33,21/10/2022,33,55.00,21/11/2022,16,26.67,21/12/2022,49,81.67,60,40,57.04,Pass
GL0820221037,GL-B46,46,21/03/2022,21/04/2022,25,41.67,21/05/2022,19,31.67,21/06/2022,33,55.00,21/07/2022,40,66.67,21/08/2022,58,96.67,21/09/2022,53,88.33,21/10/2022,44,73.33,21/11/2022,10,16.67,21/12/2022,22,36.67,60,40,56.30,Pass
GL0820221030,GL-B46,46,21/03/2022,21/04/2022,40,66.67,21/05/2022,12,20.00,21/06/2022,59,98.33,21/07/2022,30,50.00,21/08/2022,36,60.00,21/09/2022,55,91.67,21/10/2022,33,55.00,21/11/2022,16,26.67,21/12/2022,17,28.33,60,40,55.19,Pass
GL0820221029,GL-B46,46,21/03/2022,21/04/2022,18,30.00,21/05/2022,10,16.67,21/06/2022,7,11.67,21/07/2022,32,53.33,21/08/2022,40,66.67,21/09/2022,40,66.67,21/10/2022,23,38.33,21/11/2022,5,8.33,21/12/2022,55,91.67,60,40,42.59,Fail
NA,GL-B46,46,21/03/2022,21/04/2022,25,41.67,21/05/2022,26,43.33,21/06/2022,49,81.67,21/07/2022,59,98.33,21/08/2022,41,68.33,21/09/2022,40,66.67,21/10/2022,55,91.67,21/11/2022,40,66.67,21/12/2022,55,91.67,60,40,72.22,Pass
GL042022450,GL-B46,46,21/03/2022,21/04/2022,21,35.00,21/05/2022,39,65.00,21/06/2022,32,53.33,21/07/2022,32,53.33,21/08/2022,52,86.67,21/09/2022,32,53.33,21/10/2022,57,95.00,21/11/2022,37,61.67,21/12/2022,10,16.67,60,40,57.78,Pass
GL0820221065,GL-B46,46,21/03/2022,21/04/2022,52,86.67,21/05/2022,33,55.00,21/06/2022,45,75.00,21/07/2022,11,18.33,21/08/2022,24,40.00,21/09/2022,19,31.67,21/10/2022,23,38.33,21/11/2022,29,48.33,21/12/2022,44,73.33,60,40,51.85,Pass
GL072022877,GL-B46,46,21/03/2022,21/04/2022,23,38.33,21/05/2022,44,73.33,21/06/2022,41,68.33,21/07/2022,32,53.33,21/08/2022,21,35.00,21/09/2022,12,20.00,21/10/2022,26,43.33,21/11/2022,36,60.00,21/12/2022,59,98.33,60,40,54.44,Pass
GL062022680,GL-B46,46,21/03/2022,21/04/2022,56,93.33,21/05/2022,30,50.00,21/06/2022,5,8.33,21/07/2022,60,100.00,21/08/2022,57,95.00,21/09/2022,24,40.00,21/10/2022,51,85.00,21/11/2022,50,83.33,21/12/2022,42,70.00,60,40,69.44,Pass
GL042022450,GL-B46,46,21/03/2022,21/04/2022,54,90.00,21/05/2022,23,38.33,21/06/2022,59,98.33,21/07/2022,5,8.33,21/08/2022,26,43.33,21/09/2022,23,38.33,21/10/2022,31,51.67,21/11/2022,26,43.33,21/12/2022,54,90.00,60,40,55.74,Pass
GL032022377,GL-B46,46,21/03/2022,21/04/2022,25,41.67,21/05/2022,56,93.33,21/06/2022,17,28.33,21/07/2022,38,63.33,21/08/2022,4,6.67,21/09/2022,17,28.33,21/10/2022,57,95.00,21/11/2022,4,6.67,21/12/2022,20,33.33,60,40,44.07,Fail
GL0820221039,GL-B47,47,10/04/2022,10/05/2022,35,58.33,10/06/2022,56,93.33,10/07/2022,53,88.33,10/08/2022,50,83.33,10/09/2022,19,31.67,10/10/2022,53,88.33,10/11/2022,45,75.00,10/12/2022,1,1.67,10/01/2023,43,71.67,60,40,65.74,Pass
GL0820221048,GL-B47,47,10/04/2022,10/05/2022,45,75.00,10/06/2022,29,48.33,10/07/2022,3,5.00,10/08/2022,26,43.33,10/09/2022,3,5.00,10/10/2022,52,86.67,10/11/2022,21,35.00,10/12/2022,17,28.33,10/01/2023,41,68.33,60,40,43.89,Fail
GL0820221047,GL-B47,47,10/04/2022,10/05/2022,6,10.00,10/06/2022,51,85.00,10/07/2022,19,31.67,10/08/2022,58,96.67,10/09/2022,41,68.33,10/10/2022,47,78.33,10/11/2022,55,91.67,10/12/2022,30,50.00,10/01/2023,34,56.67,60,40,63.15,Pass
GL0820221050,GL-B47,47,10/04/2022,10/05/2022,31,51.67,10/06/2022,23,38.33,10/07/2022,35,58.33,10/08/2022,22,36.67,10/09/2022,56,93.33,10/10/2022,23,38.33,10/11/2022,2,3.33,10/12/2022,6,10.00,10/01/2023,41,68.33,60,40,44.26,Fail
GL0820221054,GL-B47,47,10/04/2022,10/05/2022,31,51.67,10/06/2022,14,23.33,10/07/2022,44,73.33,10/08/2022,52,86.67,10/09/2022,1,1.67,10/10/2022,23,38.33,10/11/2022,46,76.67,10/12/2022,17,28.33,10/01/2023,25,41.67,60,40,46.85,Fail
GL042022508,GL-B47,47,10/04/2022,10/05/2022,44,73.33,10/06/2022,15,25.00,10/07/2022,6,10.00,10/08/2022,13,21.67,10/09/2022,2,3.33,10/10/2022,11,18.33,10/11/2022,5,8.33,10/12/2022,38,63.33,10/01/2023,27,45.00,60,40,29.81,Fail
GL0820221042,GL-B47,47,10/04/2022,10/05/2022,51,85.00,10/06/2022,60,100.00,10/07/2022,29,48.33,10/08/2022,32,53.33,10/09/2022,21,35.00,10/10/2022,4,6.67,10/11/2022,47,78.33,10/12/2022,44,73.33,10/01/2023,12,20.00,60,40,55.56,Pass
GL0820221049,GL-B47,47,10/04/2022,10/05/2022,57,95.00,10/06/2022,29,48.33,10/07/2022,53,88.33,10/08/2022,18,30.00,10/09/2022,40,66.67,10/10/2022,11,18.33,10/11/2022,21,35.00,10/12/2022,21,35.00,10/01/2023,9,15.00,60,40,47.96,Fail
GL0820221052,GL-B47,47,10/04/2022,10/05/2022,26,43.33,10/06/2022,54,90.00,10/07/2022,7,11.67,10/08/2022,32,53.33,10/09/2022,23,38.33,10/10/2022,27,45.00,10/11/2022,12,20.00,10/12/2022,20,33.33,10/01/2023,59,98.33,60,40,48.15,Fail
NA,GL-B47,47,10/04/2022,10/05/2022,18,30.00,10/06/2022,2,3.33,10/07/2022,26,43.33,10/08/2022,36,60.00,10/09/2022,21,35.00,10/10/2022,57,95.00,10/11/2022,50,83.33,10/12/2022,31,51.67,10/01/2023,50,83.33,60,40,53.89,Pass
GL0820221045,GL-B47,47,10/04/2022,10/05/2022,39,65.00,10/06/2022,48,80.00,10/07/2022,11,18.33,10/08/2022,6,10.00,10/09/2022,10,16.67,10/10/2022,6,10.00,10/11/2022,15,25.00,10/12/2022,39,65.00,10/01/2023,40,66.67,60,40,39.63,Fail
GL0820221058,GL-B47,47,10/04/2022,10/05/2022,40,66.67,10/06/2022,7,11.67,10/07/2022,21,35.00,10/08/2022,28,46.67,10/09/2022,48,80.00,10/10/2022,50,83.33,10/11/2022,29,48.33,10/12/2022,13,21.67,10/01/2023,36,60.00,60,40,50.37,Pass
GL0820221063,GL-B47,47,10/04/2022,10/05/2022,38,63.33,10/06/2022,56,93.33,10/07/2022,45,75.00,10/08/2022,5,8.33,10/09/2022,53,88.33,10/10/2022,17,28.33,10/11/2022,18,30.00,10/12/2022,38,63.33,10/01/2023,54,90.00,60,40,60.00,Pass
GL0820221040,GL-B47,47,10/04/2022,10/05/2022,50,83.33,10/06/2022,17,28.33,10/07/2022,32,53.33,10/08/2022,18,30.00,10/09/2022,40,66.67,10/10/2022,46,76.67,10/11/2022,35,58.33,10/12/2022,57,95.00,10/01/2023,51,85.00,60,40,64.07,Pass
GL0820221070,GL-B47,47,10/04/2022,10/05/2022,11,18.33,10/06/2022,55,91.67,10/07/2022,13,21.67,10/08/2022,38,63.33,10/09/2022,51,85.00,10/10/2022,6,10.00,10/11/2022,48,80.00,10/12/2022,49,81.67,10/01/2023,17,28.33,60,40,53.33,Pass
GL0820221067,GL-B47,47,10/04/2022,10/05/2022,54,90.00,10/06/2022,37,61.67,10/07/2022,10,16.67,10/08/2022,13,21.67,10/09/2022,35,58.33,10/10/2022,33,55.00,10/11/2022,33,55.00,10/12/2022,60,100.00,10/01/2023,14,23.33,60,40,53.52,Pass
GL0820221068,GL-B47,47,10/04/2022,10/05/2022,46,76.67,10/06/2022,31,51.67,10/07/2022,40,66.67,10/08/2022,42,70.00,10/09/2022,7,11.67,10/10/2022,7,11.67,10/11/2022,28,46.67,10/12/2022,51,85.00,10/01/2023,36,60.00,60,40,53.33,Pass
GL0820221069,GL-B47,47,10/04/2022,10/05/2022,44,73.33,10/06/2022,55,91.67,10/07/2022,60,100.00,10/08/2022,32,53.33,10/09/2022,15,25.00,10/10/2022,18,30.00,10/11/2022,13,21.67,10/12/2022,46,76.67,10/01/2023,19,31.67,60,40,55.93,Pass
GL0820221073,GL-B47,47,10/04/2022,10/05/2022,18,30.00,10/06/2022,24,40.00,10/07/2022,55,91.67,10/08/2022,18,30.00,10/09/2022,47,78.33,10/10/2022,21,35.00,10/11/2022,54,90.00,10/12/2022,13,21.67,10/01/2023,20,33.33,60,40,50.00,Pass
GL0820221076,GL-B47,47,10/04/2022,10/05/2022,50,83.33,10/06/2022,7,11.67,10/07/2022,49,81.67,10/08/2022,42,70.00,10/09/2022,13,21.67,10/10/2022,19,31.67,10/11/2022,44,73.33,10/12/2022,14,23.33,10/01/2023,39,65.00,60,40,51.30,Pass
GL0820221081,GL-B47,47,10/04/2022,10/05/2022,45,75.00,10/06/2022,30,50.00,10/07/2022,20,33.33,10/08/2022,41,68.33,10/09/2022,45,75.00,10/10/2022,55,91.67,10/11/2022,4,6.67,10/12/2022,56,93.33,10/01/2023,24,40.00,60,40,59.26,Pass
GL0820221083,GL-B47,47,10/04/2022,10/05/2022,26,43.33,10/06/2022,3,5.00,10/07/2022,60,100.00,10/08/2022,31,51.67,10/09/2022,40,66.67,10/10/2022,52,86.67,10/11/2022,55,91.67,10/12/2022,10,16.67,10/01/2023,31,51.67,60,40,57.04,Pass
GL0820221084,GL-B47,47,10/04/2022,10/05/2022,18,30.00,10/06/2022,36,60.00,10/07/2022,25,41.67,10/08/2022,28,46.67,10/09/2022,7,11.67,10/10/2022,57,95.00,10/11/2022,39,65.00,10/12/2022,15,25.00,10/01/2023,35,58.33,60,40,48.15,Fail
GL0820221085,GL-B47,47,10/04/2022,10/05/2022,10,16.67,10/06/2022,6,10.00,10/07/2022,41,68.33,10/08/2022,48,80.00,10/09/2022,44,73.33,10/10/2022,29,48.33,10/11/2022,48,80.00,10/12/2022,12,20.00,10/01/2023,20,33.33,60,40,47.78,Fail
GL0820221086,GL-B47,47,10/04/2022,10/05/2022,60,100.00,10/06/2022,47,78.33,10/07/2022,36,60.00,10/08/2022,32,53.33,10/09/2022,19,31.67,10/10/2022,26,43.33,10/11/2022,45,75.00,10/12/2022,4,6.67,10/01/2023,54,90.00,60,40,59.81,Pass
GL0820221089,GL-B47,47,10/04/2022,10/05/2022,18,30.00,10/06/2022,10,16.67,10/07/2022,12,20.00,10/08/2022,27,45.00,10/09/2022,8,13.33,10/10/2022,41,68.33,10/11/2022,16,26.67,10/12/2022,57,95.00,10/01/2023,24,40.00,60,40,39.44,Fail
GL0820221078,GL-B47,47,10/04/2022,10/05/2022,23,38.33,10/06/2022,13,21.67,10/07/2022,1,1.67,10/08/2022,27,45.00,10/09/2022,7,11.67,10/10/2022,25,41.67,10/11/2022,24,40.00,10/12/2022,4,6.67,10/01/2023,50,83.33,60,40,32.22,Fail
GL0820221094,GL-B47,47,10/04/2022,10/05/2022,11,18.33,10/06/2022,59,98.33,10/07/2022,43,71.67,10/08/2022,36,60.00,10/09/2022,26,43.33,10/10/2022,44,73.33,10/11/2022,3,5.00,10/12/2022,47,78.33,10/01/2023,14,23.33,60,40,52.41,Pass
GL0820221095,GL-B47,47,10/04/2022,10/05/2022,27,45.00,10/06/2022,29,48.33,10/07/2022,58,96.67,10/08/2022,58,96.67,10/09/2022,51,85.00,10/10/2022,28,46.67,10/11/2022,55,91.67,10/12/2022,54,90.00,10/01/2023,56,93.33,60,40,77.04,Pass
GL0820221100,GL-B47,47,10/04/2022,10/05/2022,6,10.00,10/06/2022,14,23.33,10/07/2022,16,26.67,10/08/2022,31,51.67,10/09/2022,31,51.67,10/10/2022,49,81.67,10/11/2022,37,61.67,10/12/2022,24,40.00,10/01/2023,30,50.00,60,40,44.07,Fail
GL0820221099,GL-B47,47,10/04/2022,10/05/2022,44,73.33,10/06/2022,24,40.00,10/07/2022,36,60.00,10/08/2022,60,100.00,10/09/2022,46,76.67,10/10/2022,13,21.67,10/11/2022,38,63.33,10/12/2022,8,13.33,10/01/2023,40,66.67,60,40,57.22,Pass
GL0820221107,GL-B47,47,10/04/2022,10/05/2022,13,21.67,10/06/2022,58,96.67,10/07/2022,3,5.00,10/08/2022,34,56.67,10/09/2022,48,80.00,10/10/2022,21,35.00,10/11/2022,9,15.00,10/12/2022,14,23.33,10/01/2023,13,21.67,60,40,39.44,Fail
GL0820221103,GL-B47,47,10/04/2022,10/05/2022,15,25.00,10/06/2022,29,48.33,10/07/2022,47,78.33,10/08/2022,39,65.00,10/09/2022,13,21.67,10/10/2022,54,90.00,10/11/2022,17,28.33,10/12/2022,7,11.67,10/01/2023,48,80.00,60,40,49.81,Fail
GL0820221105,GL-B47,47,10/04/2022,10/05/2022,48,80.00,10/06/2022,47,78.33,10/07/2022,47,78.33,10/08/2022,47,78.33,10/09/2022,29,48.33,10/10/2022,41,68.33,10/11/2022,27,45.00,10/12/2022,56,93.33,10/01/2023,57,95.00,60,40,73.89,Pass
GL0820221113,GL-B47,47,10/04/2022,10/05/2022,20,33.33,10/06/2022,37,61.67,10/07/2022,42,70.00,10/08/2022,19,31.67,10/09/2022,21,35.00,10/10/2022,13,21.67,10/11/2022,12,20.00,10/12/2022,56,93.33,10/01/2023,50,83.33,60,40,50.00,Pass
GL0820221118,GL-B47,47,10/04/2022,10/05/2022,26,43.33,10/06/2022,59,98.33,10/07/2022,59,98.33,10/08/2022,47,78.33,10/09/2022,22,36.67,10/10/2022,20,33.33,10/11/2022,18,30.00,10/12/2022,39,65.00,10/01/2023,20,33.33,60,40,57.41,Pass
GL0820221119,GL-B47,47,10/04/2022,10/05/2022,20,33.33,10/06/2022,34,56.67,10/07/2022,19,31.67,10/08/2022,30,50.00,10/09/2022,5,8.33,10/10/2022,29,48.33,10/11/2022,34,56.67,10/12/2022,11,18.33,10/01/2023,10,16.67,60,40,35.56,Fail
GL082022999,GL-B47,47,10/04/2022,10/05/2022,54,90.00,10/06/2022,22,36.67,10/07/2022,57,95.00,10/08/2022,42,70.00,10/09/2022,17,28.33,10/10/2022,7,11.67,10/11/2022,24,40.00,10/12/2022,16,26.67,10/01/2023,40,66.67,60,40,51.67,Pass
